symbol,name,master_exchange,sector,industry,price_proxy,share_volume,market_cap,one_yr_target,stage1_pass,stage1_reasons,stage2_verdict,eligible_for_stage3,hp_tier,stage2_hp_total,stage2_hp_left,stage2_damage,stage2_score,stage2_bad_count,stage2_weak_count,stage2_bad_text,stage2_weak_text,iv_spike_diagnosis_status,iv_spike_diagnosis_hp_loss,iv_spike_diagnosis_detail,meme_stock_status,meme_stock_hp_loss,meme_stock_detail,chart_pattern_status,chart_pattern_hp_loss,chart_pattern_detail,news_sentiment_status,news_sentiment_hp_loss,news_sentiment_detail,analyst_consensus_status,analyst_consensus_hp_loss,analyst_consensus_detail,liquidity_status,liquidity_hp_loss,liquidity_detail,institutional_ownership_status,institutional_ownership_hp_loss,institutional_ownership_detail
AEVA,"Aeva Technologies, Inc.",NASDAQ,Consumer Discretionary,Auto Parts:O.E.M.,21.49,3887434.0,1596193588.0,24.0,PASS,,PASS,TRUE,Watch,10,4,6,4.0,2,2,"Sell/negative consensus or target below price (-4.8%) | Execution impaired: spread $0.90, volume 2,025, OI 12,310",Mixed/partial catalyst signal in headlines | Single large gap event,WEAK,1,Mixed/partial catalyst signal in headlines,PASS,0,0-1 meme signals,WEAK,1,Single large gap event,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-4.8%),BAD,2,"Execution impaired: spread $0.90, volume 2,025, OI 12,310",PASS,0,Institutional ownership above 50% (60.2%)
AMKR,"AMKOR TECHNOLOGY, INC.",NASDAQ,Technology,Semiconductors,65.9,5895258.0,16297618059.0,70.0,PASS,,PASS,TRUE,Standard,10,5,5,4.5,1,3,"Execution impaired: spread $0.40, volume 2,804, OI 90,375",Upper portion of 52-week range | Hold/modest upside profile (19.8%) | Institutional ownership 30-50% (50.0%),PASS,0,Elevated IV has a visible fundamental/sector catalyst,PASS,0,0-1 meme signals,WEAK,1,Upper portion of 52-week range,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (19.8%),BAD,2,"Execution impaired: spread $0.40, volume 2,804, OI 90,375",WEAK,1,Institutional ownership 30-50% (50.0%)
APLD,Applied Digital Corp.,NASDAQ,Finance,Finance: Consumer Services,48.02,22215241.0,13108248754.0,46.0,PASS,,PASS,TRUE,Strong,10,8,2,6.0,0,2,,"Upper portion of 52-week range | Borderline liquidity: spread $0.13, volume 32,267, OI 60,387",PASS,0,Elevated IV has a visible fundamental/sector catalyst,PASS,0,0-1 meme signals,WEAK,1,Upper portion of 52-week range,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (26.1%),WEAK,1,"Borderline liquidity: spread $0.13, volume 32,267, OI 60,387",PASS,0,Institutional ownership above 50% (70.3%)
ASST,"Strive, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,18.53,7804389.0,1330834711.0,26.0,PASS,,PASS,TRUE,Strong,10,7,3,5.5,1,1,Broke 200-day moving average,"Borderline liquidity: spread $0.22, volume 11,077, OI 7,426",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,BAD,2,Broke 200-day moving average,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (59.3%),WEAK,1,"Borderline liquidity: spread $0.22, volume 11,077, OI 7,426",PASS,0,Institutional ownership above 50% (52.6%)
BRZE,"Braze, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,23.41,3074675.0,2964170596.0,32.0,PASS,,PASS,TRUE,Standard,10,6,4,5.0,2,0,"Broke 200-day moving average | Execution impaired: spread $0.25, volume 1,374, OI 8,066",,PASS,0,Elevated IV has a visible fundamental/sector catalyst,PASS,0,0-1 meme signals,BAD,2,Broke 200-day moving average,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (43.1%),BAD,2,"Execution impaired: spread $0.25, volume 1,374, OI 8,066",PASS,0,Institutional ownership above 50% (76.7%)
BTDR,Bitdeer Technologies Group,NASDAQ,Finance,Finance: Consumer Services,14.92,7944834.0,3564545016.0,20.0,PASS,,PASS,TRUE,Strong,10,7,3,5.5,0,3,,"Mixed/partial catalyst signal in headlines | Borderline liquidity: spread $0.20, volume 8,984, OI 24,704 | Institutional ownership 30-50% (43.3%)",WEAK,1,Mixed/partial catalyst signal in headlines,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (46.9%),WEAK,1,"Borderline liquidity: spread $0.20, volume 8,984, OI 24,704",WEAK,1,Institutional ownership 30-50% (43.3%)
CIFR,Cipher Digital Inc.,NASDAQ,Finance,Finance: Consumer Services,21.52,19436524.0,8986810858.0,28.0,PASS,,PASS,TRUE,Standard,10,6,4,5.0,0,4,,"Mixed/partial catalyst signal in headlines | Upper portion of 52-week range | Minor/isolated negative news flow | Borderline liquidity: spread $0.12, volume 54,186, OI 52,589",WEAK,1,Mixed/partial catalyst signal in headlines,PASS,0,0-1 meme signals,WEAK,1,Upper portion of 52-week range,WEAK,1,Minor/isolated negative news flow,PASS,0,Constructive target upside (42.5%),WEAK,1,"Borderline liquidity: spread $0.12, volume 54,186, OI 52,589",PASS,0,Institutional ownership above 50% (61.8%)
CLSK,"CLEANSPARK, INC.",NASDAQ,Finance,Finance: Consumer Services,15.76,21146824.0,4098039438.0,21.5,PASS,,PASS,TRUE,Diamond,10,9,1,6.5,0,1,,Minor/isolated negative news flow,PASS,0,Elevated IV has a visible fundamental/sector catalyst,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,WEAK,1,Minor/isolated negative news flow,PASS,0,Constructive target upside (26.5%),PASS,0,"Clean liquidity: spread $0.04, volume 27,460, OI 39,207",PASS,0,Institutional ownership above 50% (84.2%)
CMPS,COMPASS Pathways plc,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,11.59,3871019.0,1593751469.0,18.0,PASS,,PASS,TRUE,Standard,10,6,4,5.0,1,2,"Execution impaired: spread $0.50, volume 2,225, OI 27,675",Mixed/partial catalyst signal in headlines | Upper portion of 52-week range,WEAK,1,Mixed/partial catalyst signal in headlines,PASS,0,0-1 meme signals,WEAK,1,Upper portion of 52-week range,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (83.9%),BAD,2,"Execution impaired: spread $0.50, volume 2,225, OI 27,675",PASS,0,Institutional ownership above 50% (67.5%)
CRML,Critical Metals Corp.,NASDAQ,Basic Materials,Metal Mining,11.14,10149001.0,1385988853.0,20.0,PASS,,PASS,TRUE,Standard,10,5,5,4.5,2,1,"Execution impaired: spread $0.35, volume 4,955, OI 11,742 | Institutional ownership below 30% (18.7%)","2 meme signals: low institutional ownership, weak/negative forward EPS",PASS,0,No binary IV-spike cause detected,WEAK,1,"2 meme signals: low institutional ownership, weak/negative forward EPS",PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (73.0%),BAD,2,"Execution impaired: spread $0.35, volume 4,955, OI 11,742",BAD,2,Institutional ownership below 30% (18.7%)
